x,y,height,momentum_x,bathymetry
125,125,0,0,20
375,125,20,-1.17006e-07,-20
625,125,20,-3.65959e-07,-20
875,125,20,-6.60345e-07,-20
1125,125,20,-1.03239e-06,-20
1375,125,20,-1.5169e-06,-20
1625,125,20,-2.15162e-06,-20
1875,125,20,-2.97707e-06,-20
2125,125,20,-4.03554e-06,-20
2375,125,20,-5.36947e-06,-20
2625,125,20,-7.0191e-06,-20
2875,125,20,-9.01958e-06,-20
3125,125,20,-1.13979e-05,-20
3375,125,20,-1.41702e-05,-20
3625,125,20,-1.7339e-05,-20
3875,125,20,-2.08926e-05,-20
4125,125,21.0057,-1.93761e-05,-21.0057
4375,125,23.0257,-1.92569e-05,-23.0257
4625,125,24.3499,-2.74042e-05,-24.3499
4875,125,25.3049,-1.89423e-05,-25.3049
5125,125,25.9802,5.58189e-06,-25.9802
5375,125,27.0448,2.76857e-05,-27.0448
5625,125,28.4558,3.80989e-05,-28.4558
5875,125,30.234,2.47654e-05,-30.234
6125,125,32.9776,1.01201e-05,-32.9776
6375,125,35.2843,9.30772e-06,-35.2843
6625,125,37.0547,-7.75514e-06,-37.0547
6875,125,37.3778,-1.98639e-05,-37.3778
7125,125,38.6646,-3.48604e-06,-38.6646
7375,125,40.2267,-7.67437e-06,-40.2267
7625,125,41.2595,-3.02131e-05,-41.2595
7875,125,41.5234,-1.29029e-05,-41.5234
8125,125,41.7932,-2.51545e-06,-41.7932
8375,125,42.7942,-9.85828e-06,-42.7942
8625,125,44.3591,-2.74321e-05,-44.3591
8875,125,45.5234,-3.88817e-05,-45.5234
9125,125,45.5234,-1.26118e-05,-45.5234
9375,125,46.3688,9.37236e-06,-46.3688
9625,125,48.3835,2.13123e-05,-48.3835
9875,125,52.1282,2.215e-05,-52.1282
10125,125,53.4473,3.39699e-05,-53.4473
10375,125,54.6156,3.79892e-05,-54.6156
10625,125,55.9716,5.55939e-06,-55.9716
10875,125,57.9378,1.26193e-05,-57.9378
11125,125,59.3332,5.79947e-05,-59.3332
11375,125,60.0429,7.41407e-05,-60.0429
11625,125,61.685,5.40188e-05,-61.685
11875,125,63.3487,4.15892e-05,-63.3487
12125,125,64.9847,7.35905e-06,-64.9847
12375,125,65.6944,9.44539e-06,-65.6944
12625,125,68.4823,3.26652e-05,-68.4823
12875,125,72.4967,-2.39502e-05,-72.4967
13125,125,73.2065,-3.66659e-05,-73.2065
13375,125,73.7161,-2.13785e-05,-73.7161
13625,125,74.3361,-0.000104079,-74.3361
13875,125,76.3382,-0.000147305,-76.3382
14125,125,77.734,-0.000132865,-77.734
14375,125,79.1383,-0.000158702,-79.1383
14625,125,81.8184,-0.000145604,-81.8184
14875,125,83.5458,-8.59844e-05,-83.5458
15125,125,84.894,2.41253e-06,-84.894
15375,125,86.2182,3.49724e-05,-86.2182
15625,125,87.8154,8.4442e-06,-87.8154
15875,125,89.3041,6.72973e-06,-89.3041
16125,125,90.337,2.329e-05,-90.337
16375,125,91.9254,8.23692e-05,-91.9254
16625,125,93.8587,0.00014064,-93.8587
16875,125,96.2157,0.000137998,-96.2157
17125,125,98.0109,8.36428e-05,-98.0109
17375,125,99.7092,6.46734e-05,-99.7092
17625,125,101.388,9.59459e-05,-101.388
17875,125,102.77,6.85752e-05,-102.77
18125,125,104.413,4.07876e-05,-104.413
18375,125,106.415,3.53271e-05,-106.415
18625,125,108.135,-6.11704e-05,-108.135
18875,125,109.335,-0.000157827,-109.335
19125,125,110.008,-0.000204658,-110.008
19375,125,110.394,-0.000332057,-110.394
19625,125,111.309,-0.000393261,-111.309
19875,125,112.615,-0.000359142,-112.615
20125,125,113.261,-0.000285501,-113.261
20375,125,113.908,-0.000234576,-113.908
20625,125,114.762,-0.000186056,-114.762
20875,125,117.151,-1.68503e-05,-117.151
21125,125,119.103,0.000236821,-119.103
21375,125,120.693,0.000332131,-120.693
21625,125,121.694,0.000275045,-121.694
21875,125,122.246,0.000186969,-122.246
22125,125,122.665,0.000235505,-122.665
22375,125,123.311,0.00029728,-123.311
22625,125,123.741,0.000156754,-123.741
22875,125,124.183,7.43146e-06,-124.183
23125,125,124.861,-9.44948e-05,-124.861
23375,125,125,-0.000140378,-125
23625,125,125.217,-9.36469e-05,-125.217
23875,125,125.895,0.000155131,-125.895
24125,125,126.573,0.000164309,-126.573
24375,125,127.25,0.000127288,-127.25
24625,125,127.928,0.000284204,-127.928
24875,125,128,0.000328423,-128
25125,125,128.149,0.000383759,-128.149
25375,125,128.504,0.000322159,-128.504
25625,125,129.134,0.000182149,-129.134
25875,125,129.795,0.000140486,-129.795
26125,125,130.473,0.000189703,-130.473
26375,125,131.151,0.000151937,-131.151
26625,125,132.013,8.86556e-05,-132.013
26875,125,133.044,0.000142065,-133.044
27125,125,134.046,0.000182875,-134.046
27375,125,135.065,0.000113472,-135.065
27625,125,136.064,5.49358e-05,-136.064
27875,125,136.742,-3.13628e-06,-136.742
28125,125,137.42,-0.000142637,-137.42
28375,125,138,-0.000204047,-138
28625,125,138,-0.000216196,-138
28875,125,138.216,-0.000166176,-138.216
29125,125,138.477,-0.000101586,-138.477
29375,125,138.477,-8.56156e-05,-138.477
29625,125,138.477,-7.12724e-05,-138.477
29875,125,138.477,-5.87748e-05,-138.477
30125,125,138.477,-4.83167e-05,-138.477
30375,125,138.725,-0.000144366,-138.725
30625,125,138.953,-0.000243496,-138.953
30875,125,138.953,-0.000241682,-138.953
31125,125,138.953,-0.000242371,-138.953
31375,125,138.953,-0.000245593,-138.953
31625,125,138.953,-0.000251344,-138.953
31875,125,138.953,-0.000259584,-138.953
32125,125,139.081,-0.000409925,-139.081
32375,125,139.404,-0.000455926,-139.404
32625,125,140.053,-0.000276498,-140.053
32875,125,140.43,-0.000203127,-140.43
33125,125,140.43,-0.000217214,-140.43
33375,125,141.087,-4.57241e-05,-141.087
33625,125,141.43,9.11161e-05,-141.43
33875,125,141.437,-8.70765e-05,-141.437
34125,125,141.791,-9.82332e-05,-141.791
34375,125,142.322,2.8524e-05,-142.322
34625,125,142.978,8.54911e-05,-142.978
34875,125,143.333,0.000134941,-143.333
35125,125,144.072,0.000282635,-144.072
35375,125,145.277,0.000467912,-145.277
35625,125,147.989,0.000377519,-147.989
35875,125,149.37,0.000213396,-149.37
36125,125,149.972,0.000227373,-149.972
36375,125,150.358,0.000133817,-150.358
36625,125,151.194,-0.000174865,-151.194
36875,125,152.227,-0.000439417,-152.227
37125,125,153.259,-0.000606527,-153.259
37375,125,154.052,-0.000614094,-154.052
37625,125,154.562,-0.000484999,-154.562
37875,125,154.53,-0.000353012,-154.53
38125,125,155.601,-0.000284067,-155.601
38375,125,156.957,-0.000192074,-156.957
38625,125,158.313,6.55297e-05,-158.313
38875,125,159.369,0.000196795,-159.369
39125,125,160.25,0.000335309,-160.25
39375,125,160.928,0.000330452,-160.928
39625,125,161.606,-1.9621e-05,-161.606
39875,125,162.136,-0.000332045,-162.136
40125,125,162.459,-0.000453957,-162.459
40375,125,162.812,-0.000474286,-162.812
40625,125,163.485,-0.000386955,-163.485
40875,125,164.518,-5.98443e-05,-164.518
41125,125,165.872,-6.16491e-05,-165.872
41375,125,167.396,-8.7496e-05,-167.396
41625,125,169.09,9.15469e-05,-169.09
41875,125,171.124,1.32855e-05,-171.124
42125,125,173.158,-0.000152634,-173.158
42375,125,174.969,-5.63356e-05,-174.969
42625,125,174.646,6.93367e-05,-174.646
42875,125,175.124,0.000189439,-175.124
43125,125,176.592,0.000328895,-176.592
43375,125,181.015,0.000422783,-181.015
43625,125,182.93,0.000581783,-182.93
43875,125,183.608,0.000506572,-183.608
44125,125,184.286,0.000307565,-184.286
44375,125,185.197,0.000383982,-185.197
44625,125,186.206,0.000508483,-186.206
44875,125,187.238,0.000543801,-187.238
45125,125,190.607,0.000669155,-190.607
45375,125,193.068,0.000671894,-193.068
45625,125,191.68,0.000434943,-191.68
45875,125,193.943,0.000149561,-193.943
46125,125,196.23,0.00019122,-196.23
46375,125,197.036,0.000172997,-197.036
46625,125,200.005,-0.000103949,-200.005
46875,125,202.292,-0.000301041,-202.292
47125,125,203.034,-0.000573125,-203.034
47375,125,205.47,-0.000668762,-205.47
47625,125,206.777,-0.000573156,-206.777
47875,125,206.485,-0.000384753,-206.485
48125,125,211.827,-0.000121303,-211.827
48375,125,215.72,-6.25808e-05,-215.72
48625,125,217.852,-9.87446e-05,-217.852
48875,125,215.077,-9.15944e-05,-215.077
49125,125,212.581,-8.32983e-05,-212.581
49375,125,210.64,0.000129975,-210.64
