x,y,height,momentum_x,bathymetry
125,125,0,0,20
375,125,20,-3.12965e-07,-20
625,125,20,-9.56001e-07,-20
875,125,20,-1.65025e-06,-20
1125,125,20,-2.42951e-06,-20
1375,125,20,-3.32693e-06,-20
1625,125,20,-4.37464e-06,-20
1875,125,20,-5.60318e-06,-20
2125,125,20,-7.04086e-06,-20
2375,125,20,-8.71296e-06,-20
2625,125,20,-1.0641e-05,-20
2875,125,20,-1.28418e-05,-20
3125,125,20,-1.53272e-05,-20
3375,125,20,-1.81033e-05,-20
3625,125,20,-2.11704e-05,-20
3875,125,20,-2.45233e-05,-20
4125,125,21.0057,-2.27264e-05,-21.0057
4375,125,23.0257,-2.22797e-05,-23.0257
4625,125,24.3499,-3.00824e-05,-24.3499
4875,125,25.3049,-2.12823e-05,-25.3049
5125,125,25.9802,3.55228e-06,-25.9802
5375,125,27.0448,2.59203e-05,-27.0448
5625,125,28.4558,3.65402e-05,-28.4558
5875,125,30.234,2.33554e-05,-30.234
6125,125,32.9776,8.80962e-06,-32.9776
6375,125,35.2843,8.06502e-06,-35.2843
6625,125,37.0547,-8.93976e-06,-37.0547
6875,125,37.3778,-2.09761e-05,-37.3778
7125,125,38.6646,-4.48803e-06,-38.6646
7375,125,40.2267,-8.50833e-06,-40.2267
7625,125,41.2595,-3.0806e-05,-41.2595
7875,125,41.5234,-1.31715e-05,-41.5234
8125,125,41.7932,-2.37493e-06,-41.7932
8375,125,42.7942,-9.23555e-06,-42.7942
8625,125,44.3591,-2.62788e-05,-44.3591
8875,125,45.5234,-3.71807e-05,-45.5234
9125,125,45.5234,-1.03786e-05,-45.5234
9375,125,46.3688,1.20798e-05,-46.3688
9625,125,48.3835,2.43857e-05,-48.3835
9875,125,52.1282,2.54363e-05,-52.1282
10125,125,53.4473,3.72863e-05,-53.4473
10375,125,54.6156,4.11291e-05,-54.6156
10625,125,55.9716,8.30083e-06,-55.9716
10875,125,57.9378,1.47399e-05,-57.9378
11125,125,59.3332,5.92843e-05,-59.3332
11375,125,60.0429,7.44094e-05,-60.0429
11625,125,61.685,5.31141e-05,-61.685
11875,125,63.3487,3.94105e-05,-63.3487
12125,125,64.9847,3.86057e-06,-64.9847
12375,125,65.6944,4.63409e-06,-65.6944
12625,125,68.4823,2.66112e-05,-68.4823
