x,y,height,momentum_x,bathymetry
125,125,0,0,20
375,125,20,-1.03095e-07,20
625,125,20,-3.23601e-07,-20
875,125,20,-5.87761e-07,-20
1125,125,20,-9.26918e-07,-20
1375,125,20,-1.37544e-06,-20
1625,125,20,-1.97124e-06,-20
1875,125,20,-2.75569e-06,-20
2125,125,20,-3.77271e-06,-20
2375,125,20,-5.06705e-06,-20
2625,125,20,-6.68179e-06,-20
2875,125,20,-8.65518e-06,-20
3125,125,20,-1.10172e-05,-20
3375,125,20,-1.37863e-05,-20
3625,125,20,-1.69664e-05,-20
3875,125,20,-2.05456e-05,-20
4125,125,21.0057,-1.90669e-05,-20
4375,125,23.0257,-1.89928e-05,-21.0057
4625,125,24.3499,-2.7188e-05,-23.0257
4875,125,25.3049,-1.87725e-05,-24.3499
5125,125,25.9802,5.71079e-06,-25.3049
5375,125,27.0448,2.7783e-05,-25.9802
5625,125,28.4558,3.81765e-05,-27.0448
5875,125,30.234,2.48356e-05,-28.4558
6125,125,32.9776,1.01942e-05,-30.234
6375,125,35.2843,9.39396e-06,-32.9776
6625,125,37.0547,-7.65208e-06,-35.2843
6875,125,37.3778,-1.97433e-05,-37.0547
7125,125,38.6646,-3.35183e-06,-37.3778
7375,125,40.2267,-7.53482e-06,-38.6646
7625,125,41.2595,-3.00803e-05,-40.2267
7875,125,41.5234,-1.27915e-05,-41.2595
8125,125,41.7932,-2.44215e-06,-41.5234
8375,125,42.7942,-9.83948e-06,-41.7932
8625,125,44.3591,-2.74819e-05,-42.7942
8875,125,45.5234,-3.90106e-05,-44.3591
9125,125,45.5234,-1.28258e-05,-45.5234
9375,125,46.3688,9.07339e-06,-45.5234
9625,125,48.3835,2.09364e-05,-46.3688
9875,125,52.1282,2.17135e-05,-48.3835
10125,125,53.4473,3.34949e-05,-52.1282
10375,125,54.6156,3.75025e-05,-53.4473
10625,125,55.9716,5.09217e-06,-54.6156
10875,125,57.9378,1.22048e-05,-55.9716
11125,125,59.3332,5.76659e-05,-57.9378
11375,125,60.0429,7.39291e-05,-59.3332
11625,125,61.685,5.39513e-05,-60.0429
11875,125,63.3487,4.16855e-05,-61.685
12125,125,64.9847,7.63063e-06,-63.3487
12375,125,65.6944,9.89482e-06,-64.9847
12625,125,68.4823,3.32844e-05,-65.6944
12875,125,72.4967,-2.31808e-05,-68.4823
13125,125,73.2065,-3.57726e-05,-72.4967
13375,125,73.7161,-2.03929e-05,-73.2065
