x,y,height,momentum_x,bathymetry
125,125,0,0,20
375,125,20,-3.97956e-07,-20
625,125,20,-1.21021e-06,-20
875,125,20,-2.0713e-06,-20
1125,125,20,-3.01314e-06,-20
1375,125,20,-4.06665e-06,-20
1625,125,20,-5.26133e-06,-20
1875,125,20,-6.62469e-06,-20
2125,125,20,-8.18179e-06,-20
2375,125,20,-9.95469e-06,-20
2625,125,20,-1.19619e-05,-20
2875,125,20,-1.4218e-05,-20
3125,125,20,-1.67333e-05,-20
3375,125,20,-1.95135e-05,-20
3625,125,20,-2.25599e-05,-20
3875,125,20,-2.58693e-05,-20
4125,125,21.0057,-2.40103e-05,-21.0057
4375,125,23.0257,-2.34889e-05,-23.0257
4625,125,24.3499,-3.12092e-05,-24.3499
4875,125,25.3049,-2.23217e-05,-25.3049
5125,125,25.9802,2.60244e-06,-25.9802
5375,125,27.0448,2.50603e-05,-27.0448
5625,125,28.4558,3.5769e-05,-28.4558
5875,125,30.234,2.26714e-05,-30.234
6125,125,32.9776,8.21156e-06,-32.9776
6375,125,35.2843,7.55308e-06,-35.2843
6625,125,37.0547,-9.363e-06,-37.0547
6875,125,37.3778,-2.13053e-05,-37.3778
7125,125,38.6646,-4.71628e-06,-38.6646
7375,125,40.2267,-8.62949e-06,-40.2267
7625,125,41.2595,-3.08145e-05,-41.2595
7875,125,41.5234,-1.30629e-05,-41.5234
8125,125,41.7932,-2.14776e-06,-41.7932
8375,125,42.7942,-8.89345e-06,-42.7942
8625,125,44.3591,-2.58322e-05,-44.3591
8875,125,45.5234,-3.66464e-05,-45.5234
9125,125,45.5234,-9.77968e-06,-45.5234
9375,125,46.3688,1.27134e-05,-46.3688
9625,125,48.3835,2.50171e-05,-48.3835
9875,125,52.1282,2.60249e-05,-52.1282
10125,125,53.4473,3.7789e-05,-53.4473
10375,125,54.6156,4.15009e-05,-54.6156
10625,125,55.9716,8.49745e-06,-55.9716
10875,125,57.9378,1.47202e-05,-57.9378
11125,125,59.3332,5.90119e-05,-59.3332
11375,125,60.0429,7.38526e-05,-60.0429
11625,125,61.685,5.22489e-05,-61.685
11875,125,63.3487,3.82223e-05,-63.3487
12125,125,64.9847,2.34337e-06,-64.9847
12375,125,65.6944,2.78902e-06,-65.6944
12625,125,68.4823,2.44485e-05,-68.4823
12875,125,72.4967,-3.35718e-05,-72.4967
13125,125,73.2065,-4.7504e-05,-73.2065
13375,125,73.7161,-3.32254e-05,-73.7161
13625,125,74.3361,-0.000116706,-74.3361
13875,125,76.3382,-0.000160477,-76.3382
14125,125,77.734,-0.000146361,-77.734
14375,125,79.1383,-0.000172335,-79.1383
14625,125,81.8184,-0.000159233,-81.8184
14875,125,83.5458,-9.95247e-05,-83.5458
15125,125,84.894,-1.10159e-05,-84.894
15375,125,86.2182,2.16182e-05,-86.2182
15625,125,87.8154,-4.92967e-06,-87.8154
15875,125,89.3041,-6.80412e-06,-89.3041
16125,125,90.337,9.42346e-06,-90.337
16375,125,91.9254,6.79828e-05,-91.9254
16625,125,93.8587,0.000125554,-93.8587
16875,125,96.2157,0.000122063,-96.2157
17125,125,98.0109,6.67561e-05,-98.0109
17375,125,99.7092,4.67977e-05,-99.7092
